code,name,market,sector33,sector17,size
8159,立花エレテック,prime,卸売業,商社・卸売,small2
8160,木曽路,prime,小売業,小売,small1
8163,ＳＲＳホールディングス,prime,小売業,小売,small2
8165,千趣会,standard,小売業,小売,small2
8166,タカキュー,standard,小売業,小売,none
8167,リテールパートナーズ,prime,小売業,小売,small2
8173,Ｊｏｓｈｉｎ,prime,小売業,小売,small1
8174,日本瓦斯,prime,小売業,小売,mid400
8179,ロイヤルホールディングス,prime,小売業,小売,small1
8181,東天紅,standard,小売業,小売,none
8185,チヨダ,prime,小売業,小売,small2
8194,ライフコーポレーション,prime,小売業,小売,small1
8198,マックスバリュ東海,standard,小売業,小売,none
8200,リンガーハット,prime,小売業,小売,small1
8202,ラオックスホールディングス,standard,小売業,小売,none
8203,ＭｒＭａｘＨＤ,prime,小売業,小売,small2
8207,テンアライド,standard,小売業,小売,none
